candidate_id,graph_id,cycle_basis_index,flux,flux_over_pi
M3A_000001,C12_ref_chords_a,0,0.0,0.0
M3A_000001,C12_ref_chords_a,1,0.0,0.0
M3A_000001,C12_ref_chords_a,2,0.0,0.0
M3A_000001,C12_ref_chords_a,3,3.141592653589793,-1.0
M3A_000001,C12_ref_chords_a,4,0.0,0.0
M3A_000002,C14_ref_chords_a,0,0.0,0.0
M3A_000002,C14_ref_chords_a,1,0.0,0.0
M3A_000002,C14_ref_chords_a,2,0.0,0.0
M3A_000002,C14_ref_chords_a,3,3.141592653589793,-1.0
M3A_000002,C14_ref_chords_a,4,0.0,0.0
M3A_000003,C16_ref_chords_a,0,0.0,0.0
M3A_000003,C16_ref_chords_a,1,3.141592653589793,-1.0
M3A_000003,C16_ref_chords_a,2,0.0,0.0
M3A_000003,C16_ref_chords_a,3,0.0,0.0
M3A_000003,C16_ref_chords_a,4,3.141592653589793,-1.0
M3A_000003,C16_ref_chords_a,5,0.0,0.0
M3A_000003,C16_ref_chords_a,6,0.0,0.0
M3A_000004,C16_ref_chords_b,0,0.0,0.0
M3A_000004,C16_ref_chords_b,1,3.141592653589793,-1.0
M3A_000004,C16_ref_chords_b,2,0.0,0.0
M3A_000004,C16_ref_chords_b,3,0.0,0.0
M3A_000004,C16_ref_chords_b,4,0.0,0.0
M3A_000004,C16_ref_chords_b,5,0.0,0.0
M3A_000004,C16_ref_chords_b,6,0.0,0.0
M3A_000005,grid_3x3,0,0.0,0.0
M3A_000005,grid_3x3,1,3.141592653589793,-1.0
M3A_000005,grid_3x3,2,0.0,0.0
M3A_000005,grid_3x3,3,3.141592653589793,-1.0
M3A_000006,grid_3x3,0,0.0,0.0
M3A_000006,grid_3x3,1,0.0,0.0
M3A_000006,grid_3x3,2,3.141592653589793,-1.0
M3A_000006,grid_3x3,3,3.141592653589793,-1.0
M3A_000007,grid_3x3,0,0.0,0.0
M3A_000007,grid_3x3,1,0.0,0.0
M3A_000007,grid_3x3,2,3.141592653589793,-1.0
M3A_000007,grid_3x3,3,3.141592653589793,-1.0
M3A_000008,grid_3x3,0,3.141592653589793,-1.0
M3A_000008,grid_3x3,1,0.0,0.0
M3A_000008,grid_3x3,2,0.0,0.0
M3A_000008,grid_3x3,3,0.0,0.0
M3A_000009,grid_3x3,0,3.141592653589793,-1.0
M3A_000009,grid_3x3,1,0.0,0.0
M3A_000009,grid_3x3,2,3.141592653589793,-1.0
M3A_000009,grid_3x3,3,0.0,0.0
M3A_000010,grid_3x3,0,3.141592653589793,-1.0
M3A_000010,grid_3x3,1,0.0,0.0
M3A_000010,grid_3x3,2,3.141592653589793,-1.0
M3A_000010,grid_3x3,3,0.0,0.0
M3A_000011,grid_4x4,0,0.0,0.0
M3A_000011,grid_4x4,1,0.0,0.0
M3A_000011,grid_4x4,2,3.141592653589793,-1.0
M3A_000011,grid_4x4,3,3.141592653589793,-1.0
M3A_000011,grid_4x4,4,0.0,0.0
M3A_000011,grid_4x4,5,0.0,0.0
M3A_000011,grid_4x4,6,3.141592653589793,-1.0
M3A_000011,grid_4x4,7,0.0,0.0
M3A_000011,grid_4x4,8,0.0,0.0
M3A_000012,grid_4x4,0,0.0,0.0
M3A_000012,grid_4x4,1,0.0,0.0
M3A_000012,grid_4x4,2,3.141592653589793,-1.0
M3A_000012,grid_4x4,3,0.0,0.0
M3A_000012,grid_4x4,4,0.0,0.0
M3A_000012,grid_4x4,5,0.0,0.0
M3A_000012,grid_4x4,6,0.0,0.0
M3A_000012,grid_4x4,7,0.0,0.0
M3A_000012,grid_4x4,8,3.141592653589793,-1.0
M3A_000013,grid_4x4,0,0.0,0.0
M3A_000013,grid_4x4,1,0.0,0.0
M3A_000013,grid_4x4,2,0.0,0.0
M3A_000013,grid_4x4,3,3.141592653589793,-1.0
M3A_000013,grid_4x4,4,0.0,0.0
M3A_000013,grid_4x4,5,0.0,0.0
M3A_000013,grid_4x4,6,0.0,0.0
M3A_000013,grid_4x4,7,0.0,0.0
M3A_000013,grid_4x4,8,3.141592653589793,-1.0
M3A_000014,grid_4x4,0,0.0,0.0
M3A_000014,grid_4x4,1,0.0,0.0
M3A_000014,grid_4x4,2,3.141592653589793,-1.0
M3A_000014,grid_4x4,3,0.0,0.0
M3A_000014,grid_4x4,4,0.0,0.0
M3A_000014,grid_4x4,5,0.0,0.0
M3A_000014,grid_4x4,6,0.0,0.0
M3A_000014,grid_4x4,7,0.0,0.0
M3A_000014,grid_4x4,8,3.141592653589793,-1.0
M3A_000015,grid_4x4,0,0.0,0.0
M3A_000015,grid_4x4,1,0.0,0.0
M3A_000015,grid_4x4,2,0.0,0.0
M3A_000015,grid_4x4,3,3.141592653589793,-1.0
M3A_000015,grid_4x4,4,0.0,0.0
M3A_000015,grid_4x4,5,0.0,0.0
M3A_000015,grid_4x4,6,0.0,0.0
M3A_000015,grid_4x4,7,0.0,0.0
M3A_000015,grid_4x4,8,3.141592653589793,-1.0
M3A_000016,grid_4x4,0,0.0,0.0
M3A_000016,grid_4x4,1,0.0,0.0
M3A_000016,grid_4x4,2,0.0,0.0
M3A_000016,grid_4x4,3,3.141592653589793,-1.0
M3A_000016,grid_4x4,4,0.0,0.0
M3A_000016,grid_4x4,5,0.0,0.0
M3A_000016,grid_4x4,6,0.0,0.0
M3A_000016,grid_4x4,7,0.0,0.0
M3A_000016,grid_4x4,8,3.141592653589793,-1.0
M3A_000017,grid_4x4,0,0.0,0.0
M3A_000017,grid_4x4,1,0.0,0.0
M3A_000017,grid_4x4,2,3.141592653589793,-1.0
M3A_000017,grid_4x4,3,3.141592653589793,-1.0
M3A_000017,grid_4x4,4,3.141592653589793,-1.0
