index,coefficient,z,d1,d2,d3,d4
1,-8,0,0,0,0,1
2,-8,0,0,0,1,0
3,-8,0,0,1,0,0
4,-8,0,1,0,0,0
5,32,1,0,0,0,0
6,4,0,0,0,1,1
7,4,0,0,1,1,0
8,4,0,1,0,0,1
9,4,0,1,1,0,0
10,-12,1,0,0,0,1
11,-12,1,0,0,1,0
12,-12,1,0,1,0,0
13,-12,1,1,0,0,0
14,32,2,0,0,0,0
15,-4,1,0,1,0,1
16,-4,1,1,0,1,0
17,4,2,0,0,0,1
18,4,2,0,0,1,0
19,4,2,0,1,0,0
20,4,2,1,0,0,0
21,-8,3,0,0,0,0
22,2,1,0,1,1,1
23,2,1,1,0,1,1
24,2,1,1,1,0,1
25,2,1,1,1,1,0
26,-5,2,0,0,1,1
27,-5,2,0,1,0,1
28,-4,2,0,1,1,0
29,-4,2,1,0,0,1
30,-5,2,1,0,1,0
31,-5,2,1,1,0,0
32,8,3,0,0,0,1
33,8,3,0,0,1,0
34,8,3,0,1,0,0
35,8,3,1,0,0,0
36,-12,4,0,0,0,0
37,1,2,1,1,1,1
38,-1,3,0,1,1,1
39,-1,3,1,0,1,1
40,-1,3,1,1,0,1
41,-1,3,1,1,1,0
42,1,4,0,0,1,1
43,1,4,0,1,0,1
44,1,4,0,1,1,0
45,1,4,1,0,0,1
46,1,4,1,0,1,0
47,1,4,1,1,0,0
48,-1,5,0,0,0,1
49,-1,5,0,0,1,0
50,-1,5,0,1,0,0
51,-1,5,1,0,0,0
52,1,6,0,0,0,0
