search_date,query,domain_or_source,result_used
2026-08-03,"exact title Signed-Involution Sector Exclusion for Exact Zero Transfer",general web,"no public match located; cite local preprint"
2026-08-10,"10.5281/zenodo.20556571",Zenodo API,"Paper I v1.0.0 record verified; supersedes the 2026-08-03 availability conclusion"
2026-08-03,"Zero Transfer in Continuous Time Quantum Walks",arxiv.org,"Sett et al. 2019 arXiv:1902.11115"
2026-08-03,"site:journals.aps.org coherent population trapping Aspect 1988",journals.aps.org,"Aspect et al. DOI verified"
2026-08-03,"Population transfer stimulated Raman adiabatic passage 10.1063/1.458514",doi/publisher metadata,"Gaubatz et al. DOI verified"
2026-08-03,"site:journals.aps.org General dark-state theory arbitrary multilevel",journals.aps.org,"Zhao et al. 2026 DOI and publication verified"
2026-08-03,"site:epubs.siam.org Perturbation Theory of Transfer Function Matrices",epubs.siam.org,"Noferini et al. metadata verified"
2026-08-03,"Effective construction linear state-variable models input/output functions Ho Kalman DOI",publisher metadata,"Ho and Kalman DOI verified"
2026-08-03,"Fonctionnelles causales non lineaires Fliess 1981",numdam.org,"journal pages and DOI verified"
2026-08-03,"Newton polyhedra and estimation of oscillating integrals Varchenko",mathnet.ru,"English pages and DOI verified"
2026-08-03,"Polyedres de Newton et nombres de Milnor Kouchnirenko",Springer/EuDML,"journal metadata and DOI verified"
2026-08-03,"Introduction to Tropical Geometry Maclagan Sturmfels",ams.org,"book DOI verified"
2026-08-03,"Elimination Theory for Tropical Varieties",publisher metadata,"journal DOI verified"
2026-08-03,"site:ams.org Computing Groebner fans Fukuda Jensen Thomas",ams.org,"journal DOI verified"
2026-08-03,"Equations of tropical varieties Giansiracusa",project/publisher metadata,"journal DOI verified"
2026-08-03,"Contact loci in arc spaces Ein Lazarsfeld Mustata",cambridge.org,"volume pages DOI verified"
2026-08-03,"Combinatorial Commutative Algebra Miller Sturmfels",springer.com,"book DOI verified"
2026-08-03,"Rational and Recognisable Power Series Sakarovitch",springer.com,"chapter DOI and pages verified"
2026-08-03,"Noncommutative Rational Series with Applications",cambridge.org,"book DOI verified"
2026-08-03,"Differentiably Finite Power Series Stanley",publisher metadata,"journal DOI verified"
