"origin","relative_path","bytes","sha256","kind","disposition","repository_path_or_note"
"completed M0-M8 Lean project",".github/workflows/create-release.yml","427","491f1c02bb31774c3f711155a4cc24da5923dc8ba7016e9aaff13969e2ea49ca","other","excluded standalone-project workflow boilerplate","not committed"
"completed M0-M8 Lean project",".github/workflows/lean_action_ci.yml","487","3b0d49449c2e6d4ee04ce6e57c23dde1a836314b502351f1f6203477e2aafe8f","other","excluded standalone-project workflow boilerplate","not committed"
"completed M0-M8 Lean project",".github/workflows/update.yml","1950","608304be502130030682762aa4a9bbec3e127d6b1eb2acf054818b84b6c81a4f","other","excluded standalone-project workflow boilerplate","not committed"
"completed M0-M8 Lean project",".gitignore","7","b3ad09fc93f83fdbd0bee771258dd4a58d3798fd7e6048611dde5a804bb43f1e","other","replaced with subtree-specific ignore rule","formalisation/.gitignore"
"completed M0-M8 Lean project","lakefile.toml","435","95549633219032a870e25fccd6a62b1006d127860a116cc4a821ec75a0c5f519","manifest/config","included","formalisation/lakefile.toml"
"completed M0-M8 Lean project","lake-manifest.json","3150","f609090f3cd703ae473bb9084ad4b30c00e9c7504115d556950dc1629a5331c5","manifest/config","included","formalisation/lake-manifest.json"
"completed M0-M8 Lean project","LEAN_M3A_SETUP_REPORT.md","6086","2c837b318313738a6840d491802132dc55259729c09ed06daed07e758c244b51","documentation","included","formalisation/reports/LEAN_M3A_SETUP_REPORT.md"
"completed M0-M8 Lean project","lean_setup_log/commands.txt","3910","7d2919b4fa08a28ca20c18f1db02d3882ee13466ae1ecadaf24df25975556e5d","documentation","excluded workstation setup log","not committed"
"completed M0-M8 Lean project","lean_setup_log/environment.txt","1653","034bab98f16b75fb4d844c2b0b42cce0cdc63890ea94c59d0aef4ca5022c8c3b","documentation","excluded workstation setup log","not committed"
"completed M0-M8 Lean project","lean_setup_log/final_status.md","464","b6dffcce7cfb3f857af0d1a3701e5e52ecb80ab090f34ad5ba417669046e2da4","documentation","excluded workstation setup log","not committed"
"completed M0-M8 Lean project","lean_setup_log/stderr.txt","5175","07c8c0932aefe6b38bef264c9ccfcbcfe1126564f1826ad87f90e03859fe81db","documentation","excluded workstation setup log","not committed"
"completed M0-M8 Lean project","lean_setup_log/stdout.txt","2515","4055f4b4bb6d48de6556fc09e294b429ef3a72e895e063774e20396d7fae2a7b","documentation","excluded workstation setup log","not committed"
"completed M0-M8 Lean project","lean-toolchain","25","8e3538e0ab5f81a3ee04927d8838c8c674e0e112838b4b3ce87ec218143276af","manifest/config","included","formalisation/lean-toolchain"
"completed M0-M8 Lean project","M01_BASELINE_VERIFICATION_REPORT.md","1659","fafff4d5bb0160005104aa1f00d9445f0f41eadcf499a3ed4dba236032c05cde","documentation","included","formalisation/reports/M01_BASELINE_VERIFICATION_REPORT.md"
"completed M0-M8 Lean project","M02_SELECTED_NUMERATOR_VERIFICATION_REPORT.md","2315","279a6bdbee045bf5960b7fc61ce0b93d678687058f4f374b063f222de171cb85","documentation","included","formalisation/reports/M02_SELECTED_NUMERATOR_VERIFICATION_REPORT.md"
"completed M0-M8 Lean project","M03_DARK_PLANES_VERIFICATION_REPORT.md","2504","c5aec0b8fef751264bc387ad7775c584b41e0d94dc3c49925372d89017d3fcbd","documentation","included","formalisation/reports/M03_DARK_PLANES_VERIFICATION_REPORT.md"
"completed M0-M8 Lean project","M04_ENDPOINT_WORDS_VERIFICATION_REPORT.md","2756","42716e70cebce4cbac346f2fb6ae59983354a31540ddcca1186b3b70ab0babf9","documentation","included","formalisation/reports/M04_ENDPOINT_WORDS_VERIFICATION_REPORT.md"
"completed M0-M8 Lean project","M05_RAY_COEFFICIENTS_VERIFICATION_REPORT.md","2488","9ecec71bcb9bdc0d3b1b7dd360002615fe70a9d88bd29b4092ae2a9cdf9d1506","documentation","included","formalisation/reports/M05_RAY_COEFFICIENTS_VERIFICATION_REPORT.md"
"completed M0-M8 Lean project","M06_FIXED_RAY_TRICHOTOMY_VERIFICATION_REPORT.md","3397","67c4ea9a7f9139da34a654acf47069350487517d3802ea206c615374ff318399","documentation","included","formalisation/reports/M06_FIXED_RAY_TRICHOTOMY_VERIFICATION_REPORT.md"
"completed M0-M8 Lean project","M07_FIXED_FIBRE_NEWTON_VERIFICATION_REPORT.md","4104","a192b131f39b1ec89c30257c94dbfb9a357aa908d9095160eaaf9284e4c8ae5e","documentation","included","formalisation/reports/M07_FIXED_FIBRE_NEWTON_VERIFICATION_REPORT.md"
"completed M0-M8 Lean project","M08_ANALYTIC_BRIDGE_VERIFICATION_REPORT.md","3770","f19851326297419a25300608c20a9bdb7df49776e14da5a1312d7bd628e89e00","documentation","included","formalisation/reports/M08_ANALYTIC_BRIDGE_VERIFICATION_REPORT.md"
"completed M0-M8 Lean project","M3A/AnalyticBridge.lean","7321","6f4c61a84807511cc7915c847f4439dfd83c4d755e1a0e369e83064f37984168","source","included","formalisation/M3A/AnalyticBridge.lean"
"completed M0-M8 Lean project","M3A/BaselineDarkness.lean","425","764e82956e45768f23b28a7389f2c0be2b7b9ab72fc310990802989dacc4467d","source","included","formalisation/M3A/BaselineDarkness.lean"
"completed M0-M8 Lean project","M3A/Basic.lean","95","dec6359c6764dc0666f22c7d3e50ffef237755239ef5821b128421d2c873d929","source","included","formalisation/M3A/Basic.lean"
"completed M0-M8 Lean project","M3A/CoefficientAlgebra.lean","1104","91789e39172a85adfb15dcea31515c4976a5d614b93d635d8ced261cc01573b0","source","included","formalisation/M3A/CoefficientAlgebra.lean"
"completed M0-M8 Lean project","M3A/DarkPlanes.lean","5787","c50bc60fed3e6e8fb8f0fe39ef1da5b4cea69c5c91e199ae9d10e734e976f99b","source","included","formalisation/M3A/DarkPlanes.lean"
"completed M0-M8 Lean project","M3A/EndpointWords.lean","8156","ea8a9fc32b3fa51721cd247a4d73e3d9c3bfd92466a59768902af0148b6ec5b8","source","included","formalisation/M3A/EndpointWords.lean"
"completed M0-M8 Lean project","M3A/FixedFibreNewton.lean","8990","53f9a90d42e1d744849933e141b7d51eb2d93f7363dbdb622c124d6f57de7ea9","source","included","formalisation/M3A/FixedFibreNewton.lean"
"completed M0-M8 Lean project","M3A/FixedRayTrichotomy.lean","7786","7040a86dd3db16c96d5bac80495b4d0a2b9cd29e93f2ec321d0b10fdb6f8ad68","source","included","formalisation/M3A/FixedRayTrichotomy.lean"
"completed M0-M8 Lean project","M3A/Model.lean","1204","1865633642e38d81d18ae1beaefdbe0ec626df797d2c959063df98040a945ddd","source","included","formalisation/M3A/Model.lean"
"completed M0-M8 Lean project","M3A/RayCoefficients.lean","9003","dd7a59a527b9a0190e5b42afb66788c530f6d7512770f42a6bc8b721eadcd3a9","source","included","formalisation/M3A/RayCoefficients.lean"
"completed M0-M8 Lean project","M3A/SelectedNumerator.lean","3699","324461c82a59c6037c7e7b62519b5c97edfbd23fe59b2c3411887e73c32cbd25","source","included","formalisation/M3A/SelectedNumerator.lean"
"completed M0-M8 Lean project","M3A/SignedInvolution.lean","4069","160722f9b616182f8db2bd4f939b2e60461c510d07f2e405832fb75e0a4c496c","source","included","formalisation/M3A/SignedInvolution.lean"
"completed M0-M8 Lean project","M3A/Types.lean","317","119edd5b2bb1c8a4664c390dab97fa1477ea93013ea1463f221f4637f48dfd91","source","included","formalisation/M3A/Types.lean"
"completed M0-M8 Lean project","M3A_THEOREM_TO_LEAN_DEPENDENCY_MAP.md","25637","eb061ff26d4f28a2cc4d2e1f5c0db5ca73d09c13f4a84a3bd5d740581c441058","documentation","included","formalisation/reports/M3A_THEOREM_TO_LEAN_DEPENDENCY_MAP.md"
"completed M0-M8 Lean project","M3AFormalisation.lean","26","b5d497cb4872bc1e3c145ac64c2a4db8e8e7d8f6774c89f83d31f09f3dfacbeb","source","included","formalisation/M3AFormalisation.lean"
"completed M0-M8 Lean project","M3AFormalisation/Basic.lean","21","a88fef4d3efa63c9f9f5c948dd5ba1de3ea09d828ce8388ee83fa3d039e734a4","source","excluded duplicate Lake template module","not committed"
"completed M0-M8 Lean project","README.md","493","0da3cb4036ee04132ab7c0728826defee0ebf2612b7c1e3330cabc38072a7a8c","documentation","excluded Lake-template boilerplate; replaced","formalisation/README.md"
"earlier user-supplied PDF","main.pdf","534430","fe8030ca364ac0f7097aa0f05f2bf2575b8928f0a688bcd56edd335448e5f7fe","PDF/figure artifact","not selected; distinct earlier PDF without matching current ZIP source","not committed"
"integrated Paper II source","AMENDMENT_DECISION_LEDGER.md","1944","b061cc3adbb8896728142daa354f44ffe9f46de0393acf76d8f3bd9b0e2db75e","documentation","included as audit documentation","documentation/AMENDMENT_DECISION_LEDGER.md"
"integrated Paper II source","AMENDMENT_IMPLEMENTATION_MATRIX.csv","1136","cedf1ab1b83a4e0ee37f01b11579ec5bc6c96b3190489abe29d653923e1c974f","data","included as audit documentation","documentation/AMENDMENT_IMPLEMENTATION_MATRIX.csv"
"integrated Paper II source","BUILD_AND_VISUAL_QA_REPORT.md","1145","5f84832e9a93fa2ff03d4d1de3518c327d3618eb33f100ff1abb7124be0614f5","documentation","included as audit documentation","documentation/BUILD_AND_VISUAL_QA_REPORT.md"
"integrated Paper II source","CITATION_VERIFICATION_LEDGER.csv","2653","4f7f141abff9c7437fe637bfb59557e04dd14ec77e6d231dad73efcbc8c7bd96","data","included as audit documentation","documentation/CITATION_VERIFICATION_LEDGER.csv"
